date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:58	593166/593166	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:57%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARR2NCiUyYceys2apS6iZy5-aX0UTSqcz6st5M6b9QMOaEh4X7Z5QffMjZMMIDFjPX0	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexc430.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:58	601783/601783	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:57%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARRhQKFNkq7iKaQ4NYhIr3nz27VW5xa8EEfuNc53KRRYu8_CzSwWzG8m119tda3VxIk&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index643a.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:58	190696/190696	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:41:58%20GMT	https://www.facebook.com/ionicframework/photos/QYEj	ionic/ionic%203%20docs/www.facebook.com/ionicframework/photos/QYEj	(from https://www.facebook.com/ionicframework/photos/?ref=page_internal)
18:41:59	593097/593097	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:57%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ART6tJP6Ri1YskQc3QVxpC7Xel7_XPndkKECb77JhmmsSMY6cZNq7aIrs-k47v6u0aY	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexbe76.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:01	596813/596813	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:57%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ART8hV5Wjb6XROX0dgG55PMbhgIkdpWvVwtSUICLdVyzMi7jTgQkcCBWl03am1Jy1bw&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexd454.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:02	603075/603075	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:59%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARRMhLF8Eh7z3pPUxRlbo6gTF2QbibQC9bSvkjUx2iWYDU3XTrGyYklZblv__-NukAM	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index2dc2.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:02	593522/593522	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:59%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARSEsmgkM8DJd5EvWBZ1JfAH6FKa_v6XNrWQX0gK8guE-egCF-6F2dUtwTQArH85gPc&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index872d.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:02	597204/597204	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:00%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARQC-PczeYYOYd2xrwcPg1wMJbsmMbvaRCEnQHmZSU69IjrKkfm5--ndtZsIvPaVEZc&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexac92.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:03	252360/252360	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:02%20GMT	https://www.facebook.com/ionicframework/about	ionic/ionic%203%20docs/www.facebook.com/ionicframework/about.html	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:04	596974/596974	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:03%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARQcIhed5BA3CfSgdmamVaScRjSSdeRwVD6mkLoZXA0f-iA5XGgMQN-ySuZ8hSqo92c&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index9007.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
